0.54366,0.31771,0.0,0.86521
0.75350,0.40359,0.0,0.86633
0.11469,0.83790,1.0,0.36684
0.84560,0.31251,0.0,0.86633
0.97861,0.98848,0.0,0.40000
0.93017,0.50708,0.0,0.84097
0.30601,0.68265,1.0,0.83874
0.47669,0.78978,0.0,0.57511
0.12475,0.87072,0.0,0.38237
0.45441,0.92401,1.0,0.85053
0.55170,0.67866,1.0,0.86571
0.21442,0.83712,0.0,0.40000
0.40908,0.50643,1.0,0.83896
0.85011,0.60498,1.0,0.85307
0.23706,0.80775,0.0,0.40000
0.62987,0.62525,1.0,0.85979
0.29212,0.82291,0.0,0.41437
0.20695,0.48898,1.0,0.84890
0.18562,0.68153,1.0,0.86377
0.81680,0.34528,0.0,0.86633
0.69826,0.93890,1.0,0.86633
0.07035,0.33014,1.0,0.57364
0.35709,0.80969,1.0,0.56633
0.94294,0.49645,1.0,0.84574
0.56251,0.70179,1.0,0.86149
0.15919,0.77324,0.0,0.40000
0.09542,0.58753,0.0,0.34576
0.45743,0.42678,0.0,0.85123
0.22875,0.45515,0.0,0.40000
0.22667,0.75693,0.0,0.40000
0.49310,0.61010,0.0,0.85493
0.30423,0.35834,0.0,0.43974
0.30908,0.85868,0.0,0.40000
0.16691,0.95820,1.0,0.40000
0.11194,0.33565,1.0,0.68754
0.56771,0.36026,0.0,0.86632
0.47499,0.76960,1.0,0.83497
0.44081,0.55510,1.0,0.83063
0.23786,0.95245,1.0,0.40000
0.06670,0.57146,0.0,0.32629
0.32026,0.46058,1.0,0.83470
0.14954,0.77821,0.0,0.40000
0.06287,0.72185,0.0,0.31404
0.52899,0.40530,0.0,0.86381
0.68712,0.76437,1.0,0.83752
0.86079,0.67934,1.0,0.86564
0.27754,0.53767,1.0,0.82570
0.39826,0.39589,1.0,0.83592
0.65828,0.79748,1.0,0.82666
0.22286,0.71492,0.0,0.40000
0.94386,0.48857,0.0,0.84906
0.84381,0.67579,0.0,0.86597
0.21940,0.42942,0.0,0.40000
0.75351,0.45418,0.0,0.86087
0.70244,0.40666,0.0,0.86633
0.71955,0.68582,0.0,0.86478
0.52303,0.61322,0.0,0.85601
0.12749,0.97142,1.0,0.38612
0.17910,0.82191,1.0,0.44207
0.62739,0.53640,1.0,0.82637
0.82211,0.51504,0.0,0.83720
0.10855,0.99687,0.0,0.36590
0.30104,0.69900,0.0,0.43275
0.72355,0.71655,1.0,0.85720
0.78017,0.34400,1.0,0.86633
0.67233,0.52198,1.0,0.83379
0.34685,0.75878,0.0,0.53999
0.81874,0.53039,1.0,0.82951
0.74835,0.36062,1.0,0.86633
